tool		CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171
array-examples/standard_copy3_ground-1.yml	true	TIMEOUT	973.16404782	943.1394093858544	7499.997184	123711	123742	123747		1.00	0.00	164956	0	0	0	1	0	1.00		2	1	123747	2	0	4	1	1	1	0	0	1	0	1	1	0.25	4	1	1	0	34	1	34.00	1.00	0	0.333	8	25	0.320	1	12	0.083	66	67	10	3	5	6	20618	41236	1	6	20618	41236	0
array-examples/standard_copy3_ground-2.yml	false	TIMEOUT	972.640442437	943.9856500951573	7499.997184	122902	122933	122938		1.00	0.00	163876	0	0	0	1	0	1.00		2	1	122938	2	0	4	1	1	1	0	0	1	0	1	1	0.25	4	1	1	0	34	1	34.00	1.00	0	0.333	9	26	0.346	1	12	0.083	67	68	10	3	5	6	20483	40967	1	6	20483	40967	0
array-examples/standard_copy4_ground-1.yml	true	TIMEOUT	963.245484036	934.2600178569555	7499.997184	123172	123208	123214		1.00	0.00	164238	0	0	0	1	0	1.00		2	1	123214	2	0	5	1	1	1	0	0	1	0	1	1	0.25	5	1	1	0	39	1	39.00	1.00	0	0.333	9	29	0.310	1	14	0.071	73	75	11	3	6	6	20528	41057	1	6	20528	41057	0
array-examples/standard_copy4_ground-2.yml	false	TIMEOUT	986.120358695	949.3791322908364	7499.997184	117498	117534	117540		1.00	0.00	156674	0	0	0	1	0	1.00		2	1	117540	2	0	5	1	1	1	0	0	1	0	1	1	0.25	5	1	1	0	39	1	39.00	1.00	0	0.333	10	30	0.333	1	14	0.071	74	76	11	3	6	6	19583	39165	1	6	19583	39165	0
array-examples/standard_copy5_ground-1.yml	true	TIMEOUT	968.584166306	943.5652711729053	7499.997184	128330	128371	128378		1.00	0.00	171120	0	0	0	1	0	1.00		2	1	128378	2	0	6	1	1	1	0	0	1	0	1	1	0.25	6	1	1	0	44	1	44.00	1.00	0	0.333	10	33	0.303	1	16	0.063	80	83	12	3	7	6	21388	42776	1	6	21388	42776	0
array-examples/standard_copy5_ground-2.yml	false	TIMEOUT	994.682941924	952.6049909221474	7499.997184	119865	119906	119913		1.00	0.00	159832	0	0	0	1	0	1.00		2	1	119913	2	0	6	1	1	1	0	0	1	0	1	1	0.25	6	1	1	0	44	1	44.00	1.00	0	0.333	11	34	0.324	1	16	0.063	81	84	12	3	7	6	19977	39954	1	6	19977	39954	0
array-examples/standard_copy6_ground-1.yml	false	TIMEOUT	975.073624978	945.4462945798878	7499.997184	121177	121223	121231		1.00	0.00	161582	0	0	0	1	0	1.00		2	1	121231	2	0	7	1	1	1	0	0	1	0	1	1	0.25	7	1	1	0	49	1	49.00	1.00	0	0.333	12	38	0.316	1	18	0.056	88	92	13	3	8	6	20196	40392	1	6	20196	40392	0
array-examples/standard_copy6_ground-2.yml	true	TIMEOUT	978.049560017	947.0490681480151	7499.997184	121195	121241	121249		1.00	0.00	161606	0	0	0	1	0	1.00		2	1	121249	2	0	7	1	1	1	0	0	1	0	1	1	0.25	7	1	1	0	49	1	49.00	1.00	0	0.333	11	37	0.297	1	18	0.056	87	91	13	3	8	6	20199	40398	1	6	20199	40398	0
array-examples/standard_copy7_ground-1.yml	false	TIMEOUT	982.164752826	946.2629541740753	7499.997184	126290	126341	126350		1.00	0.00	168404	0	0	0	1	0	1.00		2	1	126350	2	0	8	1	1	1	0	0	1	0	1	1	0.25	8	1	1	0	54	1	54.00	1.00	0	0.333	13	42	0.310	1	20	0.050	95	100	14	3	9	6	21048	42096	1	6	21048	42096	0
array-examples/standard_copy7_ground-2.yml	true	TIMEOUT	971.502119988	943.6284461650066	7499.997184	123013	123064	123073		1.00	0.00	164032	0	0	0	1	0	1.00		2	1	123073	2	0	8	1	1	1	0	0	1	0	1	1	0.25	8	1	1	0	54	1	54.00	1.00	0	0.333	12	41	0.293	1	20	0.050	94	99	14	3	9	6	20502	41004	1	6	20502	41004	0
array-examples/standard_copy8_ground-1.yml	true	TIMEOUT	966.269262977	941.1026226689573	7499.997184	116740	116796	116806		1.00	0.00	155670	0	0	0	1	0	1.00		2	1	116806	2	0	9	1	1	1	0	0	1	0	1	1	0.25	9	1	1	0	59	1	59.00	1.00	0	0.333	13	45	0.289	1	22	0.045	101	107	15	3	10	6	19456	38913	1	6	19456	38913	0
array-examples/standard_copy8_ground-2.yml	false	TIMEOUT	968.100010892	940.1589894460049	7499.997184	119830	119886	119896		1.00	0.00	159790	0	0	0	1	0	1.00		2	1	119896	2	0	9	1	1	1	0	0	1	0	1	1	0.25	9	1	1	0	59	1	59.00	1.00	0	0.333	14	46	0.304	1	22	0.045	102	108	15	3	10	6	19971	39943	1	6	19971	39943	0
array-examples/standard_copy9_ground-1.yml	false	TIMEOUT	967.213179031	940.6535505640786	7499.997184	124961	125022	125033		1.00	0.00	166636	0	0	0	1	0	1.00		2	1	125033	2	0	10	1	1	1	0	0	1	0	1	1	0.25	10	1	1	0	64	1	64.00	1.00	0	0.333	15	50	0.300	1	24	0.042	109	116	16	3	11	6	20826	41653	1	6	20826	41653	0
array-examples/standard_copy9_ground-2.yml	true	TIMEOUT	971.687750292	943.3434158391319	7499.997184	120902	120963	120974		1.00	0.00	161224	0	0	0	1	0	1.00		2	1	120974	2	0	10	1	1	1	0	0	1	0	1	1	0.25	10	1	1	0	64	1	64.00	1.00	0	0.333	14	49	0.286	1	24	0.042	108	115	16	3	11	6	20150	40300	1	6	20150	40300	0
array-examples/standard_copyInitSum2_ground-1.yml	false	TIMEOUT	982.284281958	947.5714720489923	7499.997184	126736	126762	126766		1.00	0.00	168986	0	0	0	1	0	1.00		2	1	126766	2	0	3	1	1	1	0	0	1	0	1	1	0.14	3	1	1	0	29	1	29.00	1.00	0	0.333	6	19	0.316	1	10	0.100	55	55	7	3	4	6	21122	42245	1	6	21122	42245	0
array-examples/standard_copyInitSum2_ground-2.yml	true	TIMEOUT	979.121169015	942.8061297889799	7499.997184	127651	127677	127681		1.00	0.00	170206	0	0	0	1	0	1.00		2	1	127681	2	0	3	1	1	1	0	0	1	0	1	1	0.14	3	1	1	0	29	1	29.00	1.00	0	0.333	6	19	0.316	1	10	0.100	55	55	7	3	4	6	21275	42550	1	6	21275	42550	0
array-examples/standard_copyInitSum3_ground.yml	true	TIMEOUT	976.634629454	944.6416651040781	7499.997184	131294	131325	131330		1.00	0.00	175068	0	0	0	1	0	1.00		2	1	131330	2	0	4	1	1	1	0	0	1	0	1	1	0.14	4	1	1	0	34	1	34.00	1.00	0	0.333	6	22	0.273	1	12	0.083	61	62	7	3	5	6	21882	43764	1	6	21882	43764	0
array-examples/standard_copyInitSum_ground.yml	true	TIMEOUT	969.354508024	942.9524580368306	7499.997184	126540	126566	126570		1.00	0.00	168726	0	0	0	1	0	1.00		2	1	126570	2	0	3	1	1	1	0	0	1	0	1	1	0.14	3	1	1	0	29	1	29.00	1.00	0	0.333	7	20	0.350	1	10	0.100	58	58	8	3	4	6	21090	42179	1	6	21090	42179	0
array-examples/standard_copyInit_ground.yml	true	TIMEOUT	964.789628998	937.543430472957	7499.997184	127557	127578	127581		1.00	0.00	170080	0	0	0	1	0	1.00		2	1	127581	2	0	2	1	1	1	0	0	1	0	1	1	0.14	2	1	1	0	24	1	24.00	1.00	0	0.333	6	16	0.375	1	8	0.125	49	48	7	3	3	6	21259	42518	1	6	21259	42518	0
array-examples/standard_find_ground-1.yml	true	TIMEOUT	970.399602458	942.3571612250526	7499.997184	126319	126340	126344		1.00	0.00	168430	0	0	0	1	0	1.00		2	1	126344	2	0	3	1	1	1	0	0	1	0	1	1	0.25	3	1	1	0	24	1	24.00	1.00	0	0.333	6	15	0.400	1	10	0.100	52	52	8	3	3	6	21053	42106	1	6	21053	42106	0
array-examples/standard_init1_ground-1.yml	false	TIMEOUT	976.279383503	947.588225812884	7499.997184	123204	123220	123222		1.00	0.00	164274	0	0	0	1	0	1.00		2	1	123222	2	0	1	1	1	1	0	0	1	0	1	2	0.50	1	1	1	0	19	1	19.00	1.00	0	0.333	5	12	0.417	1	6	0.167	42	40	6	3	2	6	20534	41067	1	6	20534	41067	0
array-examples/standard_init1_ground-2.yml	true	TIMEOUT	995.671839217	951.216246078955	7499.997184	121065	121081	121083		1.00	0.00	161422	0	0	0	1	0	1.00		2	1	121083	2	0	1	1	1	1	0	0	1	0	1	2	0.50	1	1	1	0	19	1	19.00	1.00	0	0.333	5	12	0.417	1	6	0.167	42	40	6	3	2	6	20177	40354	1	6	20177	40354	0
array-examples/standard_init2_ground-1.yml	false	TIMEOUT	967.676578244	942.831791549921	7499.997184	130742	130763	130766		1.00	0.00	174328	0	0	0	1	0	1.00		2	1	130766	2	0	2	1	1	1	0	0	1	0	1	2	0.50	2	1	1	0	24	1	24.00	1.00	0	0.333	5	16	0.313	1	8	0.125	48	47	6	3	3	6	21790	43580	1	6	21790	43580	0
array-examples/standard_init2_ground-2.yml	true	TIMEOUT	975.27702521	944.5163612219039	7499.997184	120996	121017	121020		1.00	0.00	161332	0	0	0	1	0	1.00		2	1	121020	2	0	2	1	1	1	0	0	1	0	1	2	0.50	2	1	1	0	24	1	24.00	1.00	0	0.333	5	16	0.313	1	8	0.125	48	47	6	3	3	6	20166	40331	1	6	20166	40331	0
array-examples/standard_init3_ground-1.yml	false	TIMEOUT	990.238164917	949.9612217401154	7499.997184	125626	125652	125656		1.00	0.00	167506	0	0	0	1	0	1.00		2	1	125656	2	0	3	1	1	1	0	0	1	0	1	2	0.50	3	1	1	0	29	1	29.00	1.00	0	0.333	5	20	0.250	1	10	0.100	54	54	6	3	4	6	20937	41875	1	6	20937	41875	0
array-examples/standard_init3_ground-2.yml	true	TIMEOUT	988.926654336	949.6014812509529	7499.997184	126353	126379	126383		1.00	0.00	168478	0	0	0	1	0	1.00		2	1	126383	2	0	3	1	1	1	0	0	1	0	1	2	0.50	3	1	1	0	29	1	29.00	1.00	0	0.333	5	20	0.250	1	10	0.100	54	54	6	3	4	6	21058	42117	1	6	21058	42117	0
array-examples/standard_init4_ground-1.yml	false	TIMEOUT	983.745378624	948.8941216131207	7499.997184	117618	117649	117654		1.00	0.00	156832	0	0	0	1	0	1.00		2	1	117654	2	0	4	1	1	1	0	0	1	0	1	2	0.50	4	1	1	0	34	1	34.00	1.00	0	0.333	5	24	0.208	1	12	0.083	60	61	6	3	5	6	19603	39205	1	6	19603	39205	0
array-examples/standard_init4_ground-2.yml	true	TIMEOUT	989.880744318	948.5809024928603	7499.997184	124135	124166	124171		1.00	0.00	165520	0	0	0	1	0	1.00		2	1	124171	2	0	4	1	1	1	0	0	1	0	1	2	0.50	4	1	1	0	34	1	34.00	1.00	0	0.333	5	24	0.208	1	12	0.083	60	61	6	3	5	6	20689	41378	1	6	20689	41378	0
array-examples/standard_init5_ground-1.yml	true	TIMEOUT	968.070371698	937.352795469109	7499.997184	124624	124660	124666		1.00	0.00	166174	0	0	0	1	0	1.00		2	1	124666	2	0	5	1	1	1	0	0	1	0	1	2	0.50	5	1	1	0	39	1	39.00	1.00	0	0.333	5	28	0.179	1	14	0.071	66	68	6	3	6	6	20770	41541	1	6	20770	41541	0
array-examples/standard_init5_ground-2.yml	false	TIMEOUT	975.80843531	943.1476232318673	7499.997184	119102	119138	119144		1.00	0.00	158814	0	0	0	1	0	1.00		2	1	119144	2	0	5	1	1	1	0	0	1	0	1	2	0.50	5	1	1	0	39	1	39.00	1.00	0	0.333	5	28	0.179	1	14	0.071	66	68	6	3	6	6	19850	39700	1	6	19850	39700	0
array-examples/standard_init6_ground-1.yml	false	TIMEOUT	973.423115302	945.0783013531473	7499.997184	113814	113855	113862		1.00	0.00	151764	0	0	0	1	0	1.00		2	1	113862	2	0	6	1	1	1	0	0	1	0	1	2	0.50	6	1	1	0	44	1	44.00	1.00	0	0.333	5	32	0.156	1	16	0.063	72	75	6	3	7	6	18969	37937	1	6	18969	37937	0
array-examples/standard_init6_ground-2.yml	true	TIMEOUT	963.717638682	935.1927452390082	7499.997184	113793	113834	113841		1.00	0.00	151736	0	0	0	1	0	1.00		2	1	113841	2	0	6	1	1	1	0	0	1	0	1	2	0.50	6	1	1	0	44	1	44.00	1.00	0	0.333	5	32	0.156	1	16	0.063	72	75	6	3	7	6	18965	37930	1	6	18965	37930	0
array-examples/standard_init7_ground-1.yml	false	TIMEOUT	973.931032287	943.8429514910094	7499.997184	121834	121880	121888		1.00	0.00	162458	0	0	0	1	0	1.00		2	1	121888	2	0	7	1	1	1	0	0	1	0	1	2	0.50	7	1	1	0	49	1	49.00	1.00	0	0.333	5	36	0.139	1	18	0.056	78	82	6	3	8	6	20305	40611	1	6	20305	40611	0
array-examples/standard_init7_ground-2.yml	true	TIMEOUT	970.690191044	944.2541020580102	7499.997184	123225	123271	123279		1.00	0.00	164314	0	0	0	1	0	1.00		2	1	123279	2	0	7	1	1	1	0	0	1	0	1	2	0.50	7	1	1	0	49	1	49.00	1.00	0	0.333	5	36	0.139	1	18	0.056	78	82	6	3	8	6	20537	41074	1	6	20537	41074	0
array-examples/standard_init8_ground-1.yml	false	TIMEOUT	955.317944558	930.3363091510255	7499.997184	131546	131597	131606		1.00	0.00	175412	0	0	0	1	0	1.00		2	1	131606	2	0	8	1	1	1	0	0	1	0	1	2	0.50	8	1	1	0	54	1	54.00	1.00	0	0.333	5	40	0.125	1	20	0.050	84	89	6	3	9	6	21924	43848	1	6	21924	43848	0
array-examples/standard_init8_ground-2.yml	true	TIMEOUT	959.150356256	932.0167760869954	7499.997184	119981	120032	120041		1.00	0.00	159992	0	0	0	1	0	1.00		2	1	120041	2	0	8	1	1	1	0	0	1	0	1	2	0.50	8	1	1	0	54	1	54.00	1.00	0	0.333	5	40	0.125	1	20	0.050	84	89	6	3	9	6	19996	39993	1	6	19996	39993	0
array-examples/standard_init9_ground-1.yml	false	TIMEOUT	989.278484773	950.892111340072	7499.997184	127882	127938	127948		1.00	0.00	170526	0	0	0	1	0	1.00		2	1	127948	2	0	9	1	1	1	0	0	1	0	1	2	0.50	9	1	1	0	59	1	59.00	1.00	0	0.333	5	44	0.114	1	22	0.045	90	96	6	3	10	6	21313	42627	1	6	21313	42627	0
